name,title,quote,date,context
Epaminondas,Greek general and statesman of Thebes (362 BC). He pulled out the weapon with which he had been impaled in battle once he heard the enemy was fleeing.,Then I die happy.,,
Darius III,"Achaemenid King of Kings of Persia (330 BC), to a man who gave him water as he was dying","But Alexander, whose kindness to my mother, my wife, and my children I hope the gods will recompense, will doubtless thank you for your humanity to me. Tell him, therefore, in token of my acknowledgement, I give him this right hand.",,
"(""Quid mihi nocebunt ferārum dentes nihil sentienti."") — Diogenes","Greek Cynic philosopher (323 BC), asking for his body to be thrown outside the city wall for animals to eat","How can the teeth of wild beasts hurt me, without consciousness?",,
"(""Τῷ κρατίστῳ"") — Alexander the Great",conqueror and king of Macedonia,To the strongest.,c. 11 June 323 BC,when asked to whom his vast empire should belong after his death
Demosthenes,"Greek statesman and orator (12 October 322 BC), to Archias of Thurii; Demosthenes had taken poison to avoid arrest by Archias","Now, as soon as you please you may commence the part of Creon in the tragedy, and cast out this body of mine unburied. But, O gracious Neptune, I, for my part, while I am yet alive, arise up and depart out of this sacred place; though Antipater and the Macedonians have not left so much as thy temple unpolluted.",,
Crates of Thebes,Cynic philosopher,Ah! poor hump-back! thy many long years are at last conveying thee to the tomb; thou shalt soon see the palace of Pluto.,c. 285 BC,surveying himself when about to die
Epicurus,Greek philosopher (270 BC); the majority of his writings are now lost,"Now, farewell, and remember all my words!",,
Zeno of Citium,Greek philosopher and founder of Stoicism,"I come, I come, why dost thou call for me?",c. 262 BC,"quoting Aeschylus' play Niobe and striking the ground with his hand after sustaining a minor injury, which he considered a sign that he was about to die. He then killed himself"
Agis IV,"king of Sparta (241 BC), prior to execution by strangulation","Weep not, friend, for me, who dies innocent, by the lawless act of wicked men. My condition is much better than theirs.",,
Cratesiclea,"queen of Sparta (219 BC), after seeing the children of her family executed prior to her own execution","O children, whither are you going?",,
Aratus of Sicyon,"Hellenistic Greek politician and military commander (213 BC), after expectorating blood while allegedly being slowly poisoned on the orders of Philip V of Macedon, his former friend","These, O Cephalon, are the wages of a king's love.",,
"(""Μή μου τοὺς κύκλους τάραττε!"") — Archimedes",Greek mathematician,Do not disturb my circles!,c. 212 BC,"to a Roman soldier who interrupted his geometric experiments during the capture of Syracuse, whereupon the soldier killed him"
Chrysippus,Greek philosopher,Go and give the ass a drink of wine to wash down the figs.,c. 206 BC,before dying of laughter
Philopoemen,"Greek general and statesman (183 BC), sent a cup of poison to kill himself after being captured in battle. He asked the messenger with the poison about his cavalry and was told that most of them had escaped.",It is well that we have not been every way unfortunate.,,
"(""Liberemus diuturna cura populum Romanum","quando mortem senis exspectare longum censent."") — Hannibal, Carthaginian general","Let us ease the Roman people of their continual care, who think it long to await the death of an old man.",c. 182 BC,in a suicide note
Ennius,writer and poet of the Roman Republic,"Let no one weep for me, or celebrate my funeral with mourning; for I still live, as I pass to and fro through the mouths of men.",c. 169 BC,; lines dictated to be engraved on his memorial. Only fragments of his works now survive
Jugurtha,"king of Numidia (104 BC), being lowered by the Romans into a damp dungeon to starve to death",It is a cold bath you give me.,,
Marcus Livius Drusus,"Roman politician and reformer (91 BC), after being stabbed by unknown assassin",When will the republic find a citizen like me?,,
Alexander Jannaeus,king of Judea,"Fear not true Pharisees, but greatly fear painted Pharisees.",c. 76 BC,to his wife
Monime,"wife of Mithridates VI (72/71 BC), after failing to hang herself by her crown's strings in fulfillment of her death sentence",O wretched head-band!—not able to help me even in this small thing!,,
Dumnorix,"Gallic chieftain,",I am free and the subject of a free state.,c. 54 BC,before being killed by Roman cavalry
Pompey,"Roman general and statesman (28 September 48 BC), to Lucius Septimius, one of his assassins","I am not mistaken, surely, in believing you to have been formerly my fellow-soldier.",,
"(""Imperator se bene habet"") — Metellus Scipio","Roman senator and military commander (46 BC), before committing suicide to evade capture following his defeat in the Battle of Hippo Regius.",The imperator is doing well.,,
"(""Καὶ σὺ","τέκνον"") — Julius Caesar, Roman dictator (15 March 44 BC), discovering that his stepson Brutus was among his murderers.","You too, my child?",,
Decimus Junius Brutus Albinus,"Roman general and politician, conspirator in Julius Caesar's assassination (September 43 BC), quoting from Euripides prior to execution",O wretched virtue! thou art a bare name! I mistook thee for a substance; but thou thyself art the slave of fortune.,,
"(""Accede","veterane, et, si hoc saltim potes recte facere, incide cervicem [...] 'quid, si ad me inquit primum venissetis?"") — Cicero, Roman statesman (7 December 43 BC), facing an assassin sent by an enemy","I go no further: approach, veteran soldier, and, if you can at least do so much properly, sever this neck. [...] What would you have done had you come to me as your first victim?",,
Gaius Cassius Longinus,"Roman senator and general, one of Julius Caesar's assassins (3 October 42 BC), erroneously believing his comrade Titinius had been captured by Mark Antony's forces at the Battle of Philippi. Cassius then killed himself.","Through too much fondness of life, I have lived to endure the sight of my friend taken by the enemy before my face.",,
Marcus Junius Brutus,"Roman senator and assassin of Julius Caesar (23 October 42 BC), after defeat at the Battle of Philippi. He then bade his friends farewell before killing himself.","Yes, indeed, we must fly; but not with our feet, but with our hands.",,
Mark Antony,Roman politician and general (1 August 30 BC); to Cleopatra before his suicide,"You must not pity me in this last turn of fate. You should rather be happy in the remembrance of our love, and in the recollection that of all men I was once the most famous and the most powerful, and now, at the end, have fallen not dishonorably, a Roman by a Roman vanquished.",,
"(""Τόσο εδώ!"") — Cleopatra","pharaoh of Egypt (12 August 30 BC), right before she reportedly committed suicide by letting an asp bite her","Here thou art, then!",,
Charmion,"servant to Cleopatra (12 August 30 BC), when one of Emperor Augustus' men asked her, ""Was this well done of your lady, Charmion?"" She then fell dead.","Extremely well, and as became the descendant of so many kings.",,
Virgil,Roman poet (21 September 19 BC),"Death twitches my ear. 'Live,' he says. 'I am coming.'",,
"(""Acta est fabula","plaudite."") — Augustus, First Roman Emperor (19 August 14 AD)","Have I played the part well? Then applaud, as I exit.",,
"(""τετέλεσται. / πάτερ","εἰς χεῖράς σου παρατίθεμαι τὸ πνεῦμά μου."") — Jesus, founder of Christianity","It is finished. \ Father, into thy hands I commend my spirit.",c. 30 AD,right before his death by crucifixion
Saint Stephen,early Christian deacon and protomartyr,"Lord Jesus, receive my spirit. Lord, lay not this sin to their charge.",c. 34 AD,while being stoned to death
Caligula,"Roman emperor (24 January 41 AD), after being fatally stabbed",I am still alive!,,
"(""Non dolet","Paete!"") — Arria, Roman woman (42 AD), to her husband, Aulus Caecina Paetus. He had been condemned to death but given permission to kill himself; when he hesitated to do so, his wife stabbed herself first and handed the dagger to him.","It is not painful, Pætus.",,
Agrippina the Younger,"mother of Nero (23 March 59 AD), to her murderer",Strike here! Level your rage against the womb which gave birth to such a monster.,,
Lucan,"Roman poet (30 April 65 AD), forced to commit suicide after joining in a conspiracy against Nero. He died quoting lines from his own epic poem Pharsalia.","Asunder flies the man— / No single wound the gaping rupture seems, / Where trickling crimson flows the tender streams; / But from an opening horrible and wide / A thousand vessels pour the bursting tide: / At once the winding channel's course was broke, / Where wandering life her mazy journey took.",,
"(""Sero... Haec est fides"") — Nero","Roman emperor (9 June 68 AD), to a soldier trying to save him after his suicide",Too late; is this your fidelity?,,
"(""Ferirent si ita e republica videretur."") — Galba","Roman emperor (15 January 69 AD), prior to beheading by supporters of Otho","Strike, if it be for the Romans' good.",,
Otho,"Roman emperor (16 April 69 AD), to a freedman, prior to committing suicide","Go and show yourself to the soldiers, lest they cut you to pieces for being accessory to my death.",,
Vitellius,"Roman emperor (22 December 69 AD), prior to his killing on the Gemonian stairs",Yet I was once your Emperor.,,
"(""Vae","puto, deus fio... imperatorem stantem oportet mori."") — Vespasian, Roman emperor (24 June 79 AD), ironically alluding to the Roman practice of posthumously deifying former emperors, before he collapsed and died when attempting to stand up.","Woe, I think I'm turning into a god... An emperor should die on his feet.",,
Pliny the Elder,"Roman military commander and author (October 79 AD), after being advised to turn back from Herculaneum during the eruption of Mount Vesuvius.",Fortune favors the bold. Make for where Pomponianus is.,,
Titus,Roman emperor (13 September 81 AD),"My life is taken from me, though I have done nothing to deserve it; for there is no action of mine of which I should repent, but one.",,
"(""שְׁמַע יִשְׂרָאֵל יְהוָה אֱלֹהֵינוּ יְהוָה אֶחָד"") — Rabbi Akiva","Jewish scholar and sage (28 September 135 AD), reciting the Shema Yisrael while being executed by the Romans","Hear, O Israel! The Lord is our God! The Lord is One!",,
Hadrian,Roman emperor (10 July 138 AD),"O my poor soul, whither art thou going?",,
Polycarp,"Christian bishop of Smyrna (155 AD), prior to martyrdom by burning and spearing","O Lord God Almighty, Father of Thy well-beloved Son, Jesus Christ, by whom we have received knowledge of Thee; God of angels, powers, and every creature that lives before Thee; I thank Thee that Thou hast graciously thought me worthy of this day and hour, that I may receive a portion in the number of Thy martyrs, and drink of Christ's cup, for the resurrection of both soul and body unto life eternal, in the incorruptibleness of the Holy Spirit. Among them may I be admitted this day, as an acceptable sacrifice, as Thou, O true and faithful God, hast prepared, foreshown, and accomplished. Wherefore, I praise Thee for all Thy mercies. I bless Thee. I glorify Thee, with Jesus Christ, Thy beloved Son, the Eternal, to Whom, with Thee and the Holy Spirit, be glory now and forever.",,
"(""Æquanimitas."") — Antoninus Pius","Roman emperor (7 March 161 AD), giving the password for the night-watch",Equanimity.,,
Demonax,Greek Cynic philosopher,"You may go home, the show is over.",c. 170 AD,
Marcus Aurelius,Roman emperor and philosopher (17 March 180 AD),"Go to the rising sun, for I am setting. Think more of death than of me.",,
Didius Julianus,"Roman emperor (2 June 193 AD), to his assassin.",But what evil have I done? Whom have I killed?,,
"(""Adeste","si quid mihi restat agendum."") — Septimius Severus, Roman emperor (4 February 211 AD)","Hurry, if anything remains for me to do.",,
"(""Assatus est; jam versa et manduca."") — Saint Lawrence","Christian deacon (10 August 258 AD), while being burned alive on a gridiron","I am roasted,—now turn me, and eat me.",,
Cyprian,"Christian bishop of Carthage and martyr (14 September 258 AD), sentenced to death by beheading",God be thanked.,,
Plotinus,Hellenistic philosopher (270 AD),I am making my last effort to return that which is divine in me to that which is divine in the Universe.,,
Anthony the Great,Christian monk from Egypt (17 January 356 AD),"And let my word be kept secret by you, so that no one knows the place but you alone. For in the resurrection of the dead I shall receive my body incorruptible once again from the Savior. Distribute my clothing. To Bishop Athanasius give the one sheepskin and the cloak on which I lie, which he gave to me new, but I have by now worn out. And to Bishop Serapion give the other sheepskin, and you keep the hair garment. And now God preserve you, children, for Antony is leaving and is with you no longer.",,
Marcus of Arethusa,"Christian bishop and martyr (362 AD), hung up in a honey-smeared basket for bees to sting him to death","How am I advanced, despising you that are upon the earth!",,
"(""Vicisti","Galilaee."") — Julian, Roman emperor (26 June 363 AD), mortally wounded in battle. He had rejected Christianity in favor of paganism; according to some accounts, he was assassinated by a Christian.","And yet Thou hast conquered, O Galilean!",,
Saint Monica,mother of Augustine of Hippo (387 AD),In peace I will sleep with Him and take my rest.,,
Severus of Ravenna,Bishop of Ravenna,"My dear one, with whom I lived in love so long, make room for me, for this is my grave, and in death we shall not be divided.",c. 348 AD,"According to a traditional story, Severus laid himself in his family tomb alongside his dead wife and daughter, then died"
Ambrose,"Bishop of Milan (4 April 397 AD), when Simplician was mentioned as his possible successor","Old though he be, he is the best of all.",,
Martin of Tours,"third bishop of Tours (8 November 397 AD), to the Devil""Glory to God for all things! Amen."" (""δόξα τῷ θεῷ πάντων ἕνεκεν"") — John Chrysostom, Early Church Father and Archbishop of Constantinople (14 September 407), while traveling deeper into exile","What dost thou here, thou cruel beast?",,
"(""მე ესე რა წარვალ წინაშე ღმრთისა ჩემისა","და ვმადლობ სახელსა მისსა, რამეთუ არა დამაკლო გამორჩეულთა წმიდათა მისთა. აწ გამცნებ თქუენ, რათა მტკიცედ სარწმუნოებასა ზედა სდგეთ და ეძიებდეთ ქრისტესთჳს სიკუდილსა სახელსა მისსა ზედა, რათა წარუვალი დიდება მოიგოთ. მე ჴორციელებრითა დიდებითა გადიდენ თქუენ ნათესავთა ჩემთა. და სახლსა ჩუენსა ნუ შეურაცხჰყოფთ, და სიყუარულსა ბერძენთასა ნუ დაუტეობთ"".) — Vakhtang I, Georgian monarch (502/22), to his son Dachi.","And me as I am going towards the God of mine, and I thank His name, as the Lord gave me everything bless His name. And I am telling you, to stand firm on your faith and to search for death for Christ for His name and you will find the permanent glory. I for my life glorified you and all of our race. And do not insult our home and do not abandon the love of the Greeks.",,
Columba,"Irish abbot and missionary evangelist (8 June 597), ceasing to transcribe a Psalter","Here must I stop. What follows, let Baithen write.",,
Phocas,"Eastern Roman emperor (3 October 610), to his successor Heraclius before being executed",Will you govern it any better?,,
"(""اللَّهُمَّ الرَّفِيقَ الأَعْلَى"") or :(""الصلاة ، الصلاة!  واتقوا الله في من يملك يمينكم"") — Muhammad",Prophet of God in Islam (8 June 632),"Oh God, the Friend Most High!"" or ""The prayer, the prayer! And fear Allah with regard to those whom your right hands possess",,
Goar of Aquitaine,"priest and hermit (6 July 649), dying in Oberwesel, Austrasia",Here shall my Saviour be known in all the simplicity of his doctrines. Ah! would that I might witness it; but I have seen those things in a vision. But I faint! I am weary! My earthly journey is finished! Receive my blessing. Go! and be kind one to another.,,
Xuanzang,"Chinese Buddhist monk, scholar, traveler and translator (5 February 664)","I desire that whatever merits I may have gained by good works may fall upon other people. May I be born again with them in the heaven of the blessed, be admitted to the family of Mi-le, and serve the Buddha of the future, who is full of kindness and affection. When I descend again upon earth, to pass through other forms of existence, I desire at every new birth to fulfill my duties toward Buddha, and arrive at the end to the highest perfect intelligence.",,
Yŏn Kaesomun,military dictator and generalissimo of Goguryeo,"You brothers must get along like fish and water and never fight each other for titles. If not, you will surely become the laughingstock of our neighbors.",c. 666,to his sons
Bede,English Benedictine monk (26 May 735); to a scribe to whom he was dictating a translation of the Gospel of John,"You speak truth, all is finished now. Glory to God.",,
Charlemagne,"European monarch (28 January 814), quoting Jesus","Lord, into Thy hands I commend my spirit.",,
"(""Huz! huz!"") — Louis the Pious","King of the Franks (20 June 840), after turning his face to the wall before dying",Out! out!,,
"(""Gnyðja mundu grísir","ef þeir vissi, hvat inn gamli þyldi."") — Ragnar Lodbrok, semi-legendary Norse chieftain",The piglets would grunt if they knew how the old boar is suffering!,c. 850,after being cast into a snakepit by King Ælla of Northumbria
Alfred the Great,"king of the Anglo-Saxons (26 October 899), to his son, Edward the Elder","Thou my dear son, set thee now beside me, and I will deliver thee true instructions. My son, I feel that my hour is coming. My countenance is wan. My days are almost done. We must now part. I shall to another world, and thou shalt be left alone in all my wealth. I pray thee (for thou art my dear child) strive to be a father, and a lord to thy people. Be thou the children's father, and the widow's friend. Comfort thou the poor, and shelter the weak; and, with all thy might, right that which is wrong. And, son, govern thyself, by law; then shall the Lord love thee, and God above all things shall be thy reward. Call thou upon him to advise thee in all thy need, and so shall he help thee, the better to compass that which thou wouldest.",,
Abd al-Rahman III,first Caliph of Córdoba (15 October 961),"I have now reigned above fifty years in victory or peace; beloved by my subjects, dreaded by my enemies, and respected by my allies. Riches and honors, power and pleasure, have waited on my call, nor does any earthly blessing appear to have been wanting to my felicity. In this situation, I have diligently numbered the days of pure and genuine happiness which have fallen to my lot: they amount to Fourteen:—O man! place not thy confidence in this present world!",,
"(""Christianorum carnes paganis dentibus conterendas dare. Ego equidem id faciam","si quod paupertas ad vitem paraverat, vestries hoc morsibus abutendum tradam."") — Ælfheah of Canterbury, Archbishop of Canterbury","You urge me in vain. I am not the man to provide Christian flesh for pagan teeth to devour, and it would be so acting if I delivered unto you that which the poor have laid by for their subsistence.",19 April 1012,refusing to pay ransom before being killed by his Danish captors
Siward,Earl of Northumbria,"How shameful it is that I, who could not die in so many battles, should have been saved for the ignominious death of a cow! At least clothe me in my impenetrable breastplate, gird me with my sword, place my helmet on my head, my shield in my left hand, my gilded battle-axe in my right, that I, the bravest of soldiers, may die like a soldier.",1055,dying of dysentery
"(""Dilexi iustitiam et odivi iniquitatem propterea morior in exilio."") — Pope Gregory VII (25 May 1085)",,I have loved justice and hated iniquity; therefore I die in exile.,25 May 1085,"in exile in Salerno due to his conflicts with Henry IV, Holy Roman Emperor"
William the Conqueror,King of England,"Then to our blessed Lady Mary, the mother of God, I commend myself. May she, by her holy intercessions, reconcile me to our Lord and Savior, Jesus Christ. God be merciful to—",9 September 1087,after hearing bell ringing Prime
Berengar of Tours,French Christian theologian,"I shall not long hesitate between conscience and the Pope, for I shall soon appear in the presence of God, to be acquitted, I hope; to be condemned, I fear.",6 January 1088,dying in ascetic solitude on the island of Saint-Cosme near Tours
William II of England (2 August 1100),,"Shoot, Walter, in the devil's name!",2 August 1100,"to Walter Tirel, who allegedly shot the king in a hunting accident"
Anselm of Canterbury,Archbishop of Canterbury,"Yes, if it be His will, I shall obey it willingly. But were He to let me stay with you a little longer till I have resolved a problem about the origin of the soul, I would gladly accept the boon; for I do not know whether anyone will work it out when I am gone. If I could but eat, I think I should pick up a little strength. I feel no pain in any part of my body; only I cannot retain nourishment, and that exhausts me.",21 April 1109,
"(""Plus volui nocere quam potui."") — Ranulf Flambard",Norman Bishop of Durham and government minister,I wished to do more harm than I could.,5 September 1128,
"(""Je ne sais."") — Peter Abelard",French philosopher and theologian,I don't know.,21 April 1142,
Bernard of Clairvaux,Burgundian abbot,May God's will be done.,20 August 1153,on being told he was dying
"(""Låt oss avsluta mässoffret","resten av gudstjänsten ska jag fira på annan ort!"") — Eric the Holy, Swedish king","Let us complete the Service of Offering, the rest of Holy Mass I will celebrate elsewhere!",18 May 1160,just before being decapitated by his successor Magnus Henriksson
Héloïse,"French nun, philosopher, writer, scholar and abbess",In death at last let me rest with Abelard.,16 May 1163–64?,
Thomas Becket,Archbishop of Canterbury,For the name of Jesus and the protection of the church I am ready to embrace death.,29 December 1170,to his murderers
Andronikos I Komnenos,Byzantine Emperor,"Lord, have mercy upon me. Wilt thou break a bruised reed?",12 September 1185,lynched by his former subjects
Henry II of England (6 July 1189),,Now let the world go as it will; I care for nothing more.,6 July 1189,on being told his son John was one of those conspiring against him
Saladin,first sultan of Egypt and Syria,"When I am buried, carry my winding-sheet on the point of a spear, and say these words: Behold the spoils which Saladin carries with him! Of all his victories, realms, and riches, nothing remains to him but this.",4 March 1193,
Richard I of England (6 April 1199),,"Youth, I forgive thee! Take off his chains, give him 100 shillings, and let him go.",6 April 1199,with reference to the young man who had mortally wounded him with a crossbow
Saint Dominic,"Castilian Catholic priest, founder of the Dominican Order, when asked where he wanted to be buried",Under the feet of my friars.,6 August 1221,
Francis of Assisi,Italian Catholic friar,"I have sinned against my brother, the ass.",3 October 1226,
"(""Миний төгсгөлийг чамаас гуйхгүй","ямар ч шалтгаангүйгээр битгий уйлж, дуулгавартай байгаарай, дайсан минь миний үхлээс сэрэмжлүүлцгээе."") — Genghis Khan, warlord and khan of Mongolia","Let not my end disarm you, and on no account weep or keen for me, lest the enemy be warned of my death.",18 August 1227,
Anthony of Padua,Portuguese Catholic priest and Franciscan friar,I see my God. He calls me to Him.,13 June 1231,
"(""Ikke hugg meg i ansiktet"") — Skule Bårdsson",Norwegian nobleman,Don't cut my face.,24 May 1240,before being killed by supporters of King Haakon IV of Norway
Simon de Montfort,6th Earl of Leicester,"By the arm of St. James, it is time to die.",4 August 1265,before dying at the Battle of Evesham
Conradin,last direct heir of the House of Hohenstaufen,O my mother! how deep will be thy sorrow at the news of this day!,29 October 1268,prior to execution by beheading at the age of 16
Louis IX of France (25 August 1270),,I will enter thy house. I will worship in Thy sanctuary.,25 August 1270,
Thomas Aquinas,Italian dominican theologian and philosopher,"I have written and taught much about this very holy Body, and about the other sacraments in the faith of Christ, and about the Holy Roman Church, to whose correction I expose and submit everything I have written.",7 March 1274,as he received his last rites
Rudolf I of Germany (15 July 1291); he was buried at Speyer Cathedral,,"I am on the way to Spires to visit the kings, my predecessors.",15 July 1291,; he was buried at Speyer Cathedral
Edward I of England (7 July 1307),,"Carry my bones before you on your march, for the rebels will not be able to endure the sight of me, alive or dead.",7 July 1307,"to his son, Edward II of England, while dying during a war with Scotland"
Jacques de Molay,last Grand Master of the Knights Templar,"Pope Clement, Chevalier Guillaume de Nogaret, King Philip! I summon you to the Tribunal of Heaven before the year is out!",11 or 18 March 1314,before being burned at the stake
Thomas,2nd Earl of Lancaster,"King of heaven, do thou have mercy on me, for the king of earth hath forsaken me.",22 March 1322,"before beheading for treason against his cousin, Edward II of England"
"(""Non ho detto metà di quello che ho visto."") — Marco Polo",Venetian traveller in Asia,I have not told half of what I saw.,"c. January 9, 1324","responding to skepticism about the content of his memoir, The Travels of Marco Polo"
Edward the Black Prince,heir to the English throne,"I give thee thanks, O God, for all thy benefits, and with all the pains of my soul I humbly beseech thy mercy to give me remission of those sins I have wickedly committed against thee; and of all mortal men whom willingly or ignorantly I have offended, with all my heart I desire forgiveness.",8 June 1376,
Edward III of England (21 June 1377),,Jesus.,21 June 1377,kissing a crucifix
Charles V of France (16 September 1380),,"Ah, Jesus!",16 September 1380,
Wat Tyler,leader of the Peasants' Revolt,"Because they are all under my command, they are sworn to do what I bid them.",15 June 1381,prior to being killed by officers loyal to Richard II of England
Gaston III,Count of Foix,"I am a dead man! Lord, have mercy upon me!",1 August 1391,"""Never yet has death been frightened away by screaming."" — Timur, Turco-Mongol conqueror, founder of the Timurid Empire (17–19 February 1405)"
"(""Nu seglar vi hem","genast!"") — Margaret, Queen of Denmark, Norway and Sweden","We are now to sail home, at once!",28 October 1412,afflicted with the plague in Flensburg harbor
"(""O Sancta Simplicitas!"") — Jan Hus",Czech theologian and church reformer,"O, holy simplicity!",6 July 1415,"While being burned at the stake for heresy, he saw an old woman throw a small amount of brushwood onto the fire"
Jerome of Prague,Czech scholastic philosopher and theologian,"O Lord God, Father Almighty, have mercy upon me, and be merciful unto mine offences, for thou knowest how sincerely I have loved Thy truth.",30 May 1416,burned for heresy
Jan Žižka,Czech general,Make my skin into drumheads for the Bohemian cause.,11 October 1424,
Giovanni di Bicci de' Medici,Italian banker,"I die content, after living the prescribed time, and leaving you, my sons, in affluence and health, placed in such a situation as, if you follow my example, will enable you to live honored and respected. I recall nothing in my life with so much pleasure as having given offence to no one, and having tried to serve all men as far as possible. I advise you to act thus, if you would live securely, accepting only those honors as the laws and favor of the state confer upon you; for it is the exercise of power that has been violently—not voluntarily—obtained, that occasions hatred and strife.",February 1429,
Joan of Arc,French military leader and mystic,Hold the cross high so I may see it through the flames!,30 May 1431,while she was burning at the stake
"(""Fi de la vie! qu'on ne m'en parle plus."") — Margaret Stewart",Dauphine of France,Fie on life! Speak no more of it to me.,16 August 1445,
Pope Eugene IV (born Gabriele Condulmer) (23 February 1447),,"O Gabriel, Gabriel, better would it have been for you to have been neither pope, nor cardinal, nor bishop, but to have finished your days as you commenced them, following peaceably in the monastery the exercises of your order.",23 February 1447,
Henry Beaufort (11 April 1447),,"Will not all my riches save me? What, is there no bribing death?",11 April 1447,"Cardinal, Bishop of Winchester"
Constantine XI (29 May 1453),,"God forbid that I should live as an Emperor without an Empire. As my city falls, I will fall with it. Whosoever wishes to escape, let him save himself if he can, and whoever is ready to face death, let him follow me.",29 May 1453,"Byzantine Empire, before charging into ottoman lines during the Fall of Constantinople, he was never seen again"
John II of Castile (22 July 1454),,"Naciera yo hijo de un labrador e fuera fraile del Abrojo, que no rey de Castilla",22 July 1454,King of Castile
Pachacuti (c. 1471/1472),,"I was born as a lily in the garden, and like the lily I grew, as my age advanced / I became old and had to die, and so I withered and died.",c. 1471/1472,"Sapa Inca and founder of the Inca Empire, poem composed on his deathbed"
"(""Notre dame d'Embrun","ma bonne maitresse, aidez moi."") — Louis XI, King of France","Our Lady of Embrun, my good mistress, help me.",30 August 1483,
Richard III of England (22 August 1485),,Treason! treason!,22 August 1485,when deserted by his best troops at the Battle of Bosworth Field
Wessel Gansfort,Dutch theologian and humanist,I know only Jesus the crucified.,4 October 1489,
Charles VIII of France (7 April 1498),,"I hope never again to commit a mortal sin, nor even a venial one, if I can help it.",7 April 1498,
Girolamo Savonarola,Italian Dominican friar,"My Lord died innocent of all crimes, for my sins; and shall not I willingly give my soul for the love of Him.",23 May 1498,"when asked before his execution if he was resigned to death""All right, all right, I'm coming. Wait a moment."" (""Va bene, va bene, arrivo. Aspettate un momento."") — Pope Alexander VI (18 August 1503)"
"(""In manus tuas","Domine, commendo spiritum meum."") — Christopher Columbus, Italian explorer","Into Your hands, O Lord, I commend my spirit.",20 May 1506,quoting Jesus
Henry VII of England (21 April 1509),,We heartily desire our executors to consider how behoofful it is to be prayed for.,21 April 1509,
Georges d'Amboise,French Roman Catholic cardinal and minister of state,I believe.,25 May 1510,
