name,title,quote,date,context
Meriwether Lewis,American explorer,"I am not coward, but I am so strong. It is hard to die.",11 October 1809,apparent suicide/possible murder
"(""Je suis mort."") — Antoine François","comte de Fourcroy, French chemist",I am dead.,16 December 1809,
Alexander Adam,Scottish teacher,"It grows dark, boys, you may go.",18 December 1809,"imagining himself still at work""I will not kneel. Fire!"" — Andreas Hofer, leader of the Tyrolean Rebellion (20 February 1810), to his firing squad"
Louise of Mecklenburg-Strelitz,Queen of Prussia,"I am a queen, but I have not the power to move my arms.",19 July 1810,
Raphaël Bienvenu Sabatier,French anatomist and surgeon,"Contemplate the state in which I am fallen, and learn to die.",19 July 1811,to his son
Spencer Perceval,Prime Minister of the United Kingdom,Oh!,11 May 1812,mortally wounded by gunshot
John Bellingham,"English merchant, assassin of Spencer Perceval",I thank God for having enabled me to meet my fate with so much fortitude and resignation.,18 May 1812,prior to hanging
Isaac Brock KB,British Army officer,Push on the York Volunteers.,13 October 1812,mortally wounded at the Battle of Queenston Heights
Harriet Newell,American Christian missionary and memoirist,"The pains, the groans, the dying strife. How long, O Lord, how long?",30 November 1812,dying in Mauritius
John Moody,Irish actor,"Reason thus with life, / If I do lose thee, I do lose a thing / That none but fools would keep.",26 December 1812,"quoting Shakespeare (Measure for Measure, Act 3, Scene 1)"
Sir William Erskine,"2nd Baronet, British Army officer and Member of Parliament","Now, why did I do that?",1813,"after jumping from a window in Lisbon, Portugal"
Benjamin Rush,"American physician, signer of the United States Declaration of Independence","I will not abandon the post which Providence has assigned me; I think it my duty not only to sacrifice my pleasure and repose, but my life, should it be necessary, for the safety of my patients.",19 April 1813,dying of typhus
James Lawrence,United States naval officer,Don't give up the ship. Fight her till she sinks.,4 June 1813,mortally wounded by British fire. His words became a popular naval battle cry
Alexander Wilson,American ornithologist,Bury me where the birds will sing over my grave.,23 August 1813,
"(""Nun lasst das Liebchen singen","/ Dass helle Funken springen! / Der Hochzeitsmorgen graut. / Hurra, du Eisenbraut! / Hurra!"") — Theodor Körner, German poet and soldier","Now let her sing and clash, / That glowing sparks may flash! / Morn wakes in nuptial pride. / Hurrah, thou iron bride! / Hurrah!",26 August 1813,"; final lines of the ""Schwertlied"", written two hours before his death in battle"
William Ward Burrows II,United States naval officer,Now I am satisfied; I die contented.,5 September 1813,mortally wounded while commanding USS Enterprise in the capture of HMS Boxer
Tecumseh,leader of the Shawnee,"So live your life that the fear of death can never enter your heart. Trouble no one about their religion; respect others in their view, and demand that they respect yours. Love your life, perfect your life, beautify all things in your life. Seek to make your life long and its purpose in the service of your people. Prepare a noble death song for the day when you go over the great divide.",10 September 1813,to his son
Józef Poniatowski,Polish general and Marshal of the Empire,"Gentlemen, it behoves us now to die with honour.",19 October 1813,"While he was covering the French Army's retreat during the Battle of Leipzig, French forces prematurely blew up the only bridge over the White Elster before Poniatowski could reach it"
Johann Georg Jacobi,German poet,I shall not in fact see the new year which I have just commemorated.,4 January 1814,referring to a poem for New Year's Day that he had completed on New Year's Eve; he in fact lived 5 more days
Johann Gottlieb Fichte,German philosopher,Leave it alone; I need no medicine; I feel that I am well.,29 January 1814,to an attendant who brought him medicine
Empress Joséphine,former wife of Napoleon,L'Isle d'Elbe—Napoleon—,29 May 1814,"looking at a picture of her former husband, who was exiled to the island of Elba at the time"
Joanna Southcott,English self-described religious prophetess,"If I have been deceived, doubtless it was the work of a spirit; whether that spirit was good or bad, I do not know.",27 December 1814,; final recorded words
Andrew Fuller,English Particular Baptist minister and theologian,"I have no religious joys; but I have a hope, in the strength of which I think I could plunge into eternity.",7 May 1815,to a young minister
Frederick William,Duke of Brunswick-Wolfenbüttel,"My dear Wachholtz, where is Olfermann?",16 May 1815,to his aide Major von Wachholtz asking for whereabouts of adjutant-general Elias Olfermann shortly after being shot in the liver at the Battle of Quatre Bras
Thomas Picton,Welsh officer of the British Army,Charge! Hurrah! hurrah!,18 June 1815,before being shot in the temple at the Battle of Waterloo
Joachim Murat,King of Naples,"Soldiers, save my face; aim at my heart. Farewell.",13 October 1815,to his firing squad
Michel Ney,Marshal of the Empire,"Soldiers, when I give the command to fire, fire straight at my heart. Wait for the order. It will be my last to you. I protest against my condemnation. I have fought a hundred battles for France, and not one against her ... Soldiers, fire!",7 December 1815,"When executed by firing squad, he refused to wear a blindfold and was allowed the right to give the order to fire himself"
Richard Brinsley Sheridan,"Irish satirist, playwright and poet",I am absolutely undone.,7 July 1816,dying in poverty
Gouverneur Morris,American statesman and Founding Father of the United States,"A beautiful day, yes, but— / 'Who, to dumb forgetfulness a prey, / This pleasing, anxious being e'er resigned; / Left the warm precincts of the cheerful day, / Nor cast one longing, lingering look behind?'",6 November 1816,quoting from Elegy Written in a Country Churchyard by Thomas Gray on being told the weather was fine
Timothy Dwight IV,American academic and educator,"There, I have done! Oh, what triumphant truth!",11 January 1817,finishing his final manuscript
Germaine de Staël,French woman of letters and political theorist,"I have loved God, my father, and liberty.",14 July 1817,
Jane Austen,English novelist,I want nothing but death.,18 July 1817,being asked by her sister Cassandra if she wanted something
John Philpot Curran,"Irish orator, politician and wit","That is surprising, since I have been practicing all night.",14 October 1817,"when his doctor said he was coughing ""with more difficulty"""
Tadeusz Kościuszko,"Polish-Lithuanian military engineer, statesman, and military leader",An end of Poland.,15 October 1817,
"(""Amei sempre a Pátria e nunca fui traidor. Perdoem-me todos","e vocês soldados, que foram sempre a minha gente, continuem a servir a Pátria como sempre a serviram portugueses…"") — Gomes Freire de Andrade, Portuguese military officer","I have always loved the Fatherland and I was never a traitor. Forgive me, all; and you soldiers, who have always been my people, keep serving the Fatherland as always the Portuguese have.",18 October 1817,sentenced to death after being accused of leading a conspiracy against the country's British military government in the name of King John VI
Princess Charlotte of Wales (6 November 1817),,You make me drunk. Pray leave me quiet. I feel it affects my head.,6 November 1817,dying of postpartum bleeding
Policarpa Salavarrieta,Neogranadine seamstress and spy,"Indolent people! How different your fate would be today if you knew the price of freedom! But it is not too late. See that - although a woman and young - I have more than enough courage to suffer death and a thousand more deaths. Do not forget this example [...] Miserable people, I pity you. Someday you will have more dignity! [...] I am dying to defend the rights of my country.",14 November 1817,prior to execution by firing squad for high treason
George Rogers Clark,"American surveyor, soldier and militia officer",Come on my brave boys! St. Vin.,13 February 1818,dying after a stroke
Abigail Adams,First Lady of the United States,"Do not grieve, my friend, my dearest friend. I am ready to go. And John, it will not be long.",28 October 1818,"to her husband, John Adams"
John Wolcot,English satirist,Give me back my youth.,14 January 1819,"when asked, ""Is there anything I can do for you?"""
"(""Allons","ce sera pour la dernière fois."") — Sophie Blanchard, French aeronaut","Let's go, this will be for the last time.",6 July 1819,"prior to lighting fireworks that ignited the gas in her balloon, causing it to crash and Blanchard to fall to her death"
Gebhard Leberecht von Blücher,Prussian field marshal,"Nostitz, you have learned many a thing from me. Now you are to learn how peacefully a man can die.",12 September 1819,"to his aide-de-camp, August Ludwig von Nostitz"
Jesse Appleton,second president of Bowdoin College and father of First Lady of the United States Jane Pierce,Glory to God in the highest. The whole earth shall be filled with his glory.,12 November 1819,"""Blessed Virgin, have mercy."" — Charles Ferdinand, Duke of Berry (14 February 1820), assassinated at the Paris Opera by Louis Pierre Louvel, a Bonapartist"
Lavinia Fisher,American alleged serial killer,"If any of you have a message for the devil, give it to me, for I am about to meet him!",18 February 1820,prior to execution by hanging
Stephen Decatur,United States naval officer,I am mortally wounded … I think.,22 March 1820,mortally wounded in duel with James Barron
"(""¡Ay","patria mía!"") — Manuel Belgrano, Argentine economist, lawyer, politician, journalist, and military leader","Oh, my homeland!",20 June 1820,
Daniel Boone,American pioneer and frontiersman,I'm going now. My time has come.,26 September 1820,
Elizabeth Ann Seton,"SC, American Catholic religious sister and educator","Soul of Christ, sanctify me; Body of Christ, save me; Blood of Christ, inebriate me; Water out of the side of Christ, strengthen me. Jesus, Mary, Joseph.",4 January 1821,saying the Anima Christi
John Keats,English poet,I can feel the daisies growing over me.,23 February 1821,
John Crome,English landscape artist,"Hobbema, my dear Hobbema, how I have loved you!",22 April 1821,
"(""Εγώ Γραικός γεννήθηκα","Γραικός θε να πεθάνω."") — Athanasios Diakos, Greek military commander","I was born a Greek, I shall die a Greek.",24 April 1821,prior to execution for refusal to convert from Christianity to Islam and become an Ottoman officer
"(""France","armée, tête d'armée, Joséphine."") — Napoleon, emperor of the French","France, the army, the head of the army, Joséphine.",5 May 1821,
Ali Pasha of Ioannina,Ottoman Albanian ruler,"Go my friend, dispatch poor Vasiliky, that these dogs may not profane her beauteous form.",24 January 1822,ordering that his mistress be killed to save her from enemy soldiers of Mahmud II. Vasiliky was captured but pardoned and lived until 1834
Robert Stewart,"Viscount Castlereagh, Anglo-Irish statesman","Bankhead, let me fall into your arms. It is all over.",12 August 1822,"; to his personal physician, Dr. Charles Bankhead, after cutting his throat"
Eva Marie Veigel,Viennese dancer and wife of David Garrick,"Put it down, hussy! Do you think I cannot help myself?",16 October 1822,telling a servant to put down a cup of tea prior to dying at age 98
Sarah Wesley,wife of Charles Wesley,Open the gates! Open the gates!,28 December 1822,
John Heckewelder,American missionary for the Moravian Church,"Golgotha, Gethsemene.",21 January 1823,
Markos Botsaris,"Greek general, hero of the Greek War of Independence",To die for liberty is a pleasure and not a pain.,21 August 1823,killed in action in attack on Karpenisi
Jane Taylor,"English poet and novelist, author of ""Twinkle, Twinkle, Little Star""","Are we not children, all of us?",13 April 1824,
Lord Byron,English poet,I must sleep now.,19 April 1824,
Louis XVIII,King of France,A king should die standing.,16 September 1824,
Henry Fuseli,"Swiss painter, draughtsman and writer on art",Is Lawrence come—is Lawrence come?,17 April 1825,anticipating the arrival of a friend
Jean Paul,German Romantic writer,"My beautiful flowers, my lovely flowers!",14 November 1825,touching a wreath of flowers he had been given. Jean Paul had lost his senses of sight and smell before his death
"(""Que vous devezêtre fatiguée."") — Alexander I of Russia (1 December [O.S. 19 November] 1825)",,You must be tired.,1 December [O.S. 19 November] 1825,"to his wife, Elizabeth Alexeievna (Louise of Baden)"
Thomas Jefferson,president of the United States,No Doctor Nothing More,4 July 1826,Talking To His Doctore
John Adams,president of the United States,Thomas Jefferson survives.,4 July 1826,unaware that Jefferson had died earlier that same day
Jereboam O. Beauchamp,American lawyer and murderer,Farewell child of sorrow—Farewell child of misfortune and persecution—you are now secure from the tongue of slander—for you I have lived; for you I die.,7 July 1826,"to his wife. Beauchamp had murdered Kentucky legislator Solomon P. Sharp to avenge his wife's honor. Beauchamp and his wife both stabbed themselves on the morning of his execution; his wife died of her wounds, while Beauchamp survived to be hanged"
Mikhail Bestuzhev-Ryumin,Russian officer,"Nothing succeeds with me. Even here, I meet with disappointment.",25 July N.S. 1826,when the rope broke during his hanging for having helped organize the Decemberist revolt
François-Joseph Talma,French actor,Voltaire.,19 October 1826,
Ann Hasseltine Judson,American foreign missionary,"I feel quite well, only very weak.",24 October 1826,"dying of smallpox in Amherst, Burma"
"(""Ce que nous connaisons est peu de chose; ce que nous ignorons est immense."") — Pierre-Simon Laplace",French scholar and polymath,What we know is little; what we are ignorant of is immense.,5 March 1827,
Ludwig van Beethoven,German composer,"Pity, pity - too late!",26 March 1827,being informed that his publisher had gifted him 12 bottles of wine
Legh Richmond,Church of England clergyman and writer,"Brother, brother, strong evidences, nothing but strong evidences will do in such an hour as this. I have looked here and looked there for them, and all have failed me, and so I cast myself on the sovereign, free and full grace of God in the covenant by Jesus Christ; and there, brother, there I have found peace.",8 May 1827,
Edward Payson,American Congregational preacher,Faith and patience hold out.,22 October 1827,
Hongi Hika,New Zealand Māori rangatira (chief) and war leader of the iwi of Ngāpuhi,"Children and friends, pay attention to my last words. After I am gone, be kind to the missionaries; be kind also to the other Europeans; welcome them to the shore, trade with them, protect them, and live with them as one people. But if ever there should land on this shore a people who wear red garments, who do no work, who neither buy nor sell, and who always have arms in their hands, then be aware that these are a people called soldiers, a dangerous people whose only occupation is war. When you see them, make war against them. Then, oh, my children, be brave! Then, O friends, be strong! Be brave, that you may not be enslaved, and that your country may not become the possession of strangers.",6 March 1828,"Despite his wishes, New Zealand would go on to become a British colony"
"(""Hier","hier ist mein Ende."") — Franz Schubert, Austrian composer","Here, here is my end.",19 November 1828,
Sam Patch,American daredevil,"Napoleon was a great man and a great general. He conquered armies and he conquered nations. But he couldn't jump the Genesee Falls. Wellington was a great man and a great soldier. He conquered armies and he conquered Napoleon, but he couldn't jump the Genesee Falls. That was left for me to do, and I can do it and will!",13 November 1829,"prior to fatal leap from Genesee Falls""Quick, quick! some vinegar! I am fainting."" — Joseph Fourier, French mathematician and physicist (16 May 1830), calling to his physician, who had stepped out of the room"
"(""¡Carajo","un balazo!"") — Antonio José de Sucre, Venezuelan independence leader and President of Peru and Bolivia","Fuck, a bullet wound!",4 June 1830,after being shot while riding in the jungle of Colombia. He was said to be an educated gentleman who had never cursed until that day
George IV,King of the United Kingdom of Great Britain and Ireland,"O God! I am dying."" (To his physician) ""This is death.",26 June 1830,
William Hazlitt,English essayist and critic,"Well, I've had a happy life.",18 September 1830,
John Quick,English actor,Is this death?,4 April 1831,
John Abernethy,English surgeon,Is there anybody in the room?,20 April 1831,
Victor Yvart,French agronomist,"Nature, how lovely thou art!",19 June 1831,
James Monroe,president of the United States,I regret that I should leave this world without again beholding him.,4 July 1831,referring to his close friend James Madison
"(""O Arglwydd","dyma gamwedd."") — Dic Penderyn, Welsh laborer and coal miner","Oh God, what an injustice.",13 August 1831,prior to execution by hanging for the non-fatal stabbing of a soldier during the Merthyr Rising. Another man confessed to the stabbing on his deathbed in 1874
Georg Wilhelm Friedrich Hegel,German philosopher,Only one man ever understood me. And he really didn't understand me.,14 November 1831,
"(""Macht doch den Fensterladen im Schlafgemach auf","damit mehr Licht herein komme."") — Johann Wolfgang von Goethe, German statesman and writer","Do open the shutter in the bed-room, in order that more light may enter.",22 March 1832,
Georges Cuvier,French naturalist and zoologist,"Nurse, it was I who discovered leeches have red blood.",13 May 1832,to a nurse who was bleeding him
James Mackintosh FRS FRSE,"Scottish jurist, politician and historian",Happy.,30 May 1832,
Jeremy Bentham,"English philosopher, jurist and social reformer","I now feel that I am dying. Our care must be to minimize the pain. Do not let any of the servants come into the room, and keep away the youths. It will be distressing to them, and they can be of no service. Yet I must not be alone, and you will remain with me, and you only, and then we shall have reduced the pain to the least possible amount.",6 June 1832,to one of his disciples
Walter Scott,Scottish novelist and poet,I have written nothing which on my deathbed I should wish blotted.,21 September 1832,
Charles Abbott,"1st Baron Tenterden, Lord Chief Justice of the King's Bench","Gentlemen of the jury, you may retire.",4 November 1832,thinking he was in court
Marie-Antoine Carême,French chef,"My boy, the quenelles de sole were splendid, but the peas were poor. You should shake the pan gently, all the time, like this.",12 January 1833,to a pupil
Samuel Drew,Cornish Methodist theologian,"Thank God, to-morrow I shall join the glorious company above.",29 March 1833,; last recorded words
Rowland Hill,"English preacher, evangelical and vaccination advocate","Christ also hath once suffered for sins, the just for the unjust, that he might bring us unto God.",11 April 1833,quoting 1 Peter 3:18
John Randolph of Roanoke,American planter and politician,Write that word 'Remorse'; show it to me.,24 May 1833,
Simon Byrne,Irish bare-knuckle boxer,"If I should die, it will not be for the beating I received, but from mortification. I would rather have died than been beaten in that fight.",2 June 1833,dying after fight against James Burke
William Wilberforce,British politician,Thank God that I have lived to see the day when England is willing to give twenty millions for the abolition of slavery.,29 July 1833,
Hannah More,English religious writer and philanthropist,"Patty, Joy.",7 September 1833,
Kaspar Hauser (17 December 1833),,Tired—very tired—a long journey—to take.,17 December 1833,
Friedrich Schleiermacher,"German Reformed theologian, philosopher and biblical scholar",Now I can hold out here no longer. Lay me in a different posture.,12 February 1834,
Samuel Taylor Coleridge,English poet and literary critic,My mind is quite unclouded. I could even be witty.,25 July 1834,
Edward Irving,Scottish clergyman,"If I die, I die unto the Lord. Amen.",7 December 1834,
Charles Lamb,English essayist and poet,My bedfellows are cramp and cough – we three all in one bed!,27 December 1834,
Felicia Hemans,English poet,"I feel as if I were sitting with Mary at the feet of my Redeemer, hearing the music of his voice, and learning of Him to be meek and lowly.",16 May 1835,
Charles Mathews,English theatre manager and comic actor,I am ready.,28 June 1835,
Vincenzo Bellini,Italian opera composer,Perhaps some day they will hear my music without even saying 'Poor Bellini'.,23 September 1835,
James Hogg,"Scottish poet, novelist and essayist",It is likely you may never need to do it again.,21 November 1835,asking his wife to watch by his bedside during the night
James Pratt,one of the last two men executed for sodomy in England,"Oh God, this is horrible, this is indeed horrible.",27 November 1835,"prior to being hanged with the other man, John Smith"
Almaron Dickinson (6 March 1836),,"Great God, Sue! The Mexicans are inside our walls! All is lost! If they spare you, love our child.",6 March 1836,"Texian soldier and rebel, killed in action at the Battle of the Alamo; husband of Alamo survivor Susanna Dickinson"
James Madison,president of the United States,"Nothing more than a change of mind, my dear.",28 June 1836,"to his niece, who had asked him what was the matter"
Aaron Burr,vice president of the United States,Madame.,14 September 1836,
John Bannister,English actor and theater manager,My hope is in Christ.,7 November 1836,
Charles Simeon,English evangelical Anglican clergyman,"What do you think especially gives me comfort at this time? The creation! I ask myself, 'Did Jehovah create the world or did I?' He did! Now if He made the world and all the rolling spheres of the universe, He certainly can take care of me. Into Jesus' hands I can safely commit my spirit!",13 November 1836,
Stephen F. Austin,"founder of Anglo Texas, Secretary of State of the Republic of Texas",Texas recognized! Archer told me so. Did you see it in the papers?,27 December 1836,
John Field,Irish pianist and composer,"Thank you—but don't kiss me; it is the sweat of death. I am dying, and it's for the best.",23 January 1837,to his friend Gebhard
Alexander Pushkin,Russian poet,"Try to be forgotten. Go live in the country. Stay in mourning for two years, then remarry, but choose somebody decent.",10 February [O.S. 29 January] 1837,"to his wife, Natalia Pushkina, after being mortally wounded in a duel with Georges-Charles de Heeckeren d'Anthès, who was rumored to be having an affair with Natalia"
John Scott,"1st Earl of Eldon, British barrister and politician",It matters not where I am going whether the weather be cold or hot.,13 January 1838,
Charles Maurice de Talleyrand-Périgord,French clergyman and diplomat,"I am suffering, sire, the pangs of the damned.",17 May 1838,"to Louis Philippe I, who had asked how he was"
Christmas Evans,Welsh nonconformist minister,"I am about to leave you. I have labored in the sanctuary fifty-three years, and this is my comfort and confidence, that I have never labored without blood in the vessel. Goodbye! Drive on!",19 July 1838,"""I am ready."" — Nathanael Emmons, American Congregational minister and theologian (23 September 1840)"
William Henry Harrison,president of the United States,"Sir, I wish you to understand the true principles of the government. I wish them carried out. I ask nothing more.",4 April 1841,"to his doctor but possibly intended for John Tyler, his vice-president and successor"
Joseph Blanco White,"Spanish political thinker, theologian and poet",Now I die.,20 May 1841,
Edward Nares,"English historian, theologian and writer",Good-bye.,23 July 1841,
Charles Bell,"Scottish physician, artist and philosophical theologian",Hold me in your arms.,28 April 1842,to his wife
Thomas Arnold,English educator and historian,"Ah, very well.",12 June 1842,"to his physician, who had described his serious prognosis and treatment"
William Ellery Channing,American Unitarian preacher and theologian,You need not be anxious concerning tonight. It will be very peaceful and quiet with me.,2 October 1842,
"(""¡Magallanes","Magallanes!"") — Bernardo O'Higgins, Chilean independence leader and statesman","Magellan, Magellan!",24 October 1842,
Isaac Hull,United States Navy Commodore,I strike my flag.,13 February 1843,
Noah Webster,American lexicographer and textbook pioneer,"I have struggled with many difficulties. Some I have been able to overcome and by some I have been overcome. I have made many mistakes but I love my country and have labored for the youth of my country, and I trust no precept of mine has taught any dear youth to sin.",28 May 1843,
Alden Bradford,"American politician, clergyman and author",Peace!,26 October 1843,
William Gadsby,English Baptist pastor,"I shall soon be with Him. Victory, victory, victory forever.",27 January 1844,"raising his hand before the word ""forever"""
"(""Oskar."") — Charles XIV John",King of Sweden and Norway,Oscar.,8 March 1844,whispering the name of his son and heir
William Beckford,English novelist and art collector,Come quick! Quick!,2 May 1844,in a message to his daughter
Thomas Campbell,Scottish poet,"When I think of the existence which shall commence when the stone is laid over my head, how can literary fame appear to me, to any one, but as nothing? I believe, when I am gone, justice will be done to me in this way — that I was a pure writer. It is an inexpressible comfort, at my time of life, to be able to look back and feel that I have not written one line against religion or virtue.",15 June 1844,
Hyrum Smith,"American religious leader in the Church of Christ (Latter Day Saints), brother of Joseph Smith",I am a dead man!,27 June 1844,killed by a mob along with his brother
Joseph Smith,founder of Mormonism,O Lord my God!,27 June 1844,before falling from a window during his murder
Gabriel de la Concepción Valdés,Afro-Cuban poet and independence activist,"Will no one have pity on me? Here, fire here?",28 June 1844,during execution by firing squad for conspiracy
Thomas Webster,Scottish geologist,Examine it for yourself.,26 December 1844,
Thomas Hood,"English poet, author and humorist","Dying, Dying.",3 May 1845,
Andrew Jackson,president of the United States,"What is the matter with my dear children? Have I alarmed you? Oh, do not cry. Be good children and we will all meet in Heaven.",8 June 1845,
Andrew Combe,Scottish physician and phrenologist,"Happy, happy.",9 August 1847,
Grace Aguilar,English author,"Though He slay me, yet will I trust in Him.",16 September 1847,quoting Job 13:15
Felix Mendelssohn,German composer,"Weary, very weary.",4 November 1847,in response to being asked how he felt
Henry Francis Lyte,Anglican poet,Peace! Joy!,20 November 1847,
John Quincy Adams,president of the United States,This is the last of Earth. I am content.,23 February 1848,after collapsing in the United States Capitol
John Jacob Astor,German-American multi-millionaire businessman,"There, I told you that she would pay it if you went the right way to work with her.",29 March 1848,to his son. Astor had been worried about an overdue rent payment. His son paid the woman's rent and claimed that she had paid it
Frederick Marryat,Royal Navy officer and novelist,"It is now half-past nine. World, adieu!",9 August 1848,
Christina Petronella (de Wit) Pretorius,"to her husband, Voortrekker leader Andries Pretorius, who had been asked to lead the Boers at the Battle of Boomplaats","Go, your countrymen need you. For me, there is now no more you can do.",September 1848,
Robert Blum,German democratic politician and revolutionist,I am ready—let there be no mistake and no delay.,9 November 1848,prior to execution by firing squad
Emily Brontë,English novelist,If you will send for a doctor I will see him now.,19 December 1848,to her sister Charlotte
Thomas Lovell Beddoes,"English poet, dramatist and physician",I am food for what I am good for—worms. I ought to have been among other things a good poet. Life was too great a bore on one peg & that a bad one.—Buy for Dr. Ecklin above mentioned Reade's best stomach pump.,26 January 1849,concluding his suicide note
Sir Andrew Agnew,"7th Baronet, Scottish politician","Did the doctors really say I was not to get up?—If they said so, then I won't get up; but I feel well.—No, I will keep them [the pillows] as the doctors left them.",28 April 1849,
Anne Brontë,English novelist,"Take courage, Charlotte; take courage.",28 May 1849,to her sister Charlotte
James K. Polk,president of the United States,"I love you, Sarah. For all eternity, I love you.",15 June 1849,"to his wife, Sarah Childress Polk"
Edgar Allan Poe,American writer,"Lord, help my poor soul.",7 October 1849,
"(""Pas encore."") — Frédéric Chopin",Polish composer and pianist,Not yet.,17 October 1849,asked by his physician if he was suffering
William Etty,English artist,Wonderful! Wonderful this death!,13 November 1849,"watching the sunset over the River Ouse, Yorkshire""The South! The poor South! God knows what will become of her."" — John C. Calhoun, vice president of the United States (31 March 1850)"
Adoniram Judson,American Congregationalist and Particular Baptist missionary,"Brother Ranney, will you bury me? bury me?—quick! quick! Take care of poor mistress.",12 April 1850,dying at sea in the Bay of Bengal. Judson was buried at sea
William Wordsworth,English poet,"God bless you! Is that you, Dora?",23 April 1850,"referring to his daughter, who had died three years earlier"
Zachary Taylor,president of the United States,"I am about to die. I expect the summons soon. I have endeavored to discharge all my official duties faithfully. I regret nothing, but am sorry that I am about to leave my friends.",9 July 1850,dying in office
August Neander,German theologian and church historian,I am weary; I will now go to sleep. Good night!,14 July 1850,
