name,title,quote,date,context
Thomas John Barnardo,"Irish-born British philanthropist, founder of the Barnardo's charity","Syrie, my head is so heavy. Let me rest it on your face.",19 September 1905,to his wife
Susan B. Anthony,American social reformer and women's rights activist,Make them.,13 March 1906,"to her chosen successor, who was worried that she would not be allowed to succeed Anthony"
"(""Tvertimod!"") — Henrik Ibsen",Norwegian playwright,On the contrary!,23 May 1906,"to his maid, who had said his health was improving"
Dmitri Mendeleev,Russian chemist,"Doctor, you have science, I have faith.",2 February [O.S. 20 January] 1907,
Thomas Bailey Aldrich,American author and editor,"In spite of it all, I am going to sleep; put out the lights.",19 March 1907,
Alferd Packer,American prospector and wilderness guide,I'm not guilty of the charge.,23 April 1907,who had served 18 years in prison for killing and eating five of his traveling companions in 1874
(대한제국 만세!) — Park Seung-hwan,Imperial Korean officer,Long live the Korean Empire!,1 August 1907,before committing suicide with his pistol
Edvard Grieg,Norwegian composer and pianist,"Well, if it must be so.",4 September 1907,
"(""Omkom 79 Fjorden efter Forsøg hjemrejse over Indlandsisen","i November Maaned jeg kommer hertil i aftagende Maaneskin og kunde ikke videre af Forfrosninger i Fødderne og af Mørket. Andres Lig findes midt i Fjorden foran Bræ (omkring 2½ Mil). Hagen døde 15 November og Mylius omtrent 10 dage efter"".) — Jørgen Brønlund, Greenlandic polar explorer","I perished in latitude 79° north under the hardships of the return journey over the inland ice in November. I reached this place under a waning moon, and cannot go on, because of my frozen feet and the darkness. The bodies of the others are in the middle of the fjord. Hagen died on November 15, Mylius Erichsen some ten days later.–Jørgen Brønlund.",November 1907,final diary entry
Alfred Jarry,French symbolist writer,I am dying. Please... bring me a toothpick.,1 November 1907,
Anton Gag,Sudeten-American painter and studio photographer to his daughter Wanda,"What Papa couldn't do, Wanda will have to finish.",22 May 1908,
Grover Cleveland,president of the United States,I have tried so hard to do right.,24 June 1908,to his wife Frances
Joel Chandler Harris,American author and folklorist,I am about the extent of a tenth of a gnat's eyebrow better.,3 July 1908,on being asked how he felt
Empress Dowager Cixi,de facto ruler of China,Never again allow a woman to hold the supreme power in the State... [and] be careful not to allow eunuchs to meddle in government affairs.,15 November 1908,
Reddy Foster,American baseball player,Watch me do a trick.,19 December 1908,said to his friend before committing suicide with a shotgun
Lucky Baldwin,California businessman,"By gad, I'm not licked yet.",1 March 1909,repeating his lifelong catchphrase
John Millington Synge,Irish author,It is no use fighting death any more.,24 March 1909,
Frederick Holder,Speaker of the Australian House of Representatives,Dreadful! Dreadful!,23 July 1909,prior to collapsing in the House after a tumultuous all-night session
Poral Stefoff,Macedonian murderer,I'm guilty. I murdered that man.,23 December 1909,moments prior to his execution for the robbery-murder of his second cousin in Toronto
Frederic Remington,American artist,"Cut 'er loose, Doc!",26 December 1909,"prior to emergency appendectomy; he subsequently died of peritonitis.""When the day comes that I hear of Korea’s independence in heaven, I will dance and shout 'Hurrah!'"" — An Jung-geun, Korean independence fighter and assassin of Ito Hirobumi (26 March 1910), before being executed"
Mark Twain,American novelist,Give me my glasses.,21 April 1910,to his daughter Clara
Edward VII,king of the United Kingdom,"Yes, I have heard of it. I am very glad.",6 May 1910,on being told by his son that one of his horses had won a race
O. Henry,American writer,Pull up the shades; I don't want to go home in the dark.,5 June 1910,to a hospital nurse
William James,American philosopher and psychologist,These then are my last words to you. Be not afraid of life. Believe that life is worth living and your belief will help create the fact.,26 August 1910,
"(""Arriba. Siempre arriba."") — Jorge Chávez",Peruvian aviator,Higher. Always higher.,27 September 1910,after being fatally injured in airplane crash
"(""Morrer assim é estúpido… E há tanto malandro que ia ficar radiante!… Esta noite","Magalhães, podia eu morrer pela República!"") — Miguel Bombarda, Portuguese psychiatrist","To die this way is stupid... And it would please so many scoundrels!... This very night, Magalhães, I could have died for the Republic!",3 October 1910,after being shot by a mental patient
Julia Ward Howe,American poet and author,God will help me. I am so tired.,17 October 1910,
Leo Tolstoy,Russian novelist,But the peasants...how do the peasants die?,20 November [O.S. 7 November] 1910,to a station master in whose home he died
Mary Baker Eddy,founder of Christian Science,God is my life.,3 December 1910,
Gustav Mahler,Austrian composer and conductor,Mozart! Mozart!,18 May 1911,
W. S. Gilbert,English dramatist and librettist,Put your hands on my shoulders and don't struggle.,29 May 1911,"while saving 17-year-old Ruby Preece from drowning, which caused his fatal heart attack"
"(""Zindabad Muhammad Ali Shah!"") — Arshadu'd-Dawla (6 September 1911)",,Long live Shah Muhammad Ali!,6 September 1911,while being executed by firing squad for involvement in a plot to restore Mohammad Ali Shah Qajar to the Persian throne
Cromwell Dixon,American aviator,Here I go. Here I go. Here I go.,2 October 1911,as his biplane crashed sideways
Jack Daniel,American alcohol businessman,"One last drink, please.",10 October 1911,
Dmitry Bogrov,assassin of Russian Prime Minister Pyotr Stolypin,Should I lift my head a bit?,24 September 1911,to his executioner prior to hanging
"(""À bientôt."") — Franz Reichelt",Austro-Hungarian born French tailor and inventor,See you soon.,4 February 1912,"prior to leaping from Eiffel Tower in fatal test of ""parachute suit"""
Lawrence Oates,British army officer and Antarctic explorer,I am just going outside and may be some time.,17 March 1912,prior to walking out of tent and into blizzard on Terra Nova Expedition
Robert Falcon Scott,Royal Navy officer and Antarctic explorer,Last Entry — For God's sake look after our people,c. 29 March 1912,; final diary entry on doomed Terra Nova Expedition
Clara Barton,American nurse and founder of the American Red Cross,Let me go! Let me go!,12 April 1912,
Carl Oscar Vilhelm Gustafsson Asplund,Swedish-American farmer,"Go ahead, we will get into one of the other boats.",15 April 1912,"to his wife, Selma Johansson Asplund, asking her to board a lifeboat with two of their children during the sinking of the Titanic. Carl Asplund and three of his sons perished. His daughter Lillian Asplund was the last living American survivor of the disaster, dying in 2006"
John Jacob Astor IV,American businessman,"The ladies have to go first.... Get into the lifeboat, to please me.... Goodbye, dearie. I'll see you later.",15 April 1912,remaining aboard the RMS Titanic while his pregnant wife boarded a lifeboat
Edward Smith,sea captain of the RMS Titanic,"Well boys, do your best for the women and children, and look out for yourselves.",15 April 1912,giving orders to crew members before the final plunge of the sinking ship
Rukara,"one of the leaders of Ndungutse's rebellion, after hearing his death sentence","When a man has a great name, he must expect to die for it.",18 April 1912,
August Strindberg,Swedish author,Everything is atoned for.,14 May 1912,
William Booth,English Methodist preacher and co-founder of the Salvation Army,"And the homeless children, Bramwell, look after the homeless. Promise me...",20 August 1912,"to his son, Bramwell Booth"
Lorentzos Mavilis,Greek poet,"I expected many honors from this war, but not the added honor that I offer my life for my Greece.",29 November 1912,killed in action at the Battle of Driskos
Alfred von Schlieffen,German field marshal and strategist,"Remember, keep the right wing strong.",4 January 1913,
Harriet Tubman,American humanitarian and activist,"Swing low, sweet chariot.",10 March 1913,
George I,king of Greece,"Tomorrow, when I pay my formal visit to the dreadnought Goeben, it is the fact that a German battleship is to honor a Greek King here in Salonika that will fill me with happiness and contentment.",18 March 1913,shortly before being assassinated
J. P. Morgan,American financier and banker,Don't baby me so!,31 March 1913,
Charles Deen,Sri Lankan murderer,"Goodbye, gentlemen, I am going now.",5 May 1913,"prior to execution by hanging at Boggo Road Gaol in Brisbane, Australia"
"(""Bes! Bes! Bes!"") — Richard Corfield",British colonial police officer,Leave me!,9 August 1913,killed in action at the Battle of Dul Madoba
Ambrose Bierce,American writer and journalist,"To be a gringo in Mexico – ah, that is euthanasia!",c. 1914,written before his disappearance in Mexico
"(""Es ist gar nichts... es ist gar nichts..."") — Archduke Franz Ferdinand of Austria",heir to the throne of Austria-Hungary,It is nothing... it is nothing...,28 June 1914,on his way to a hospital after being fatally shot by a Serbian nationalist
Robert Hugh Benson AFSC KC*SG KGCHS,English Roman Catholic priest and author,"Arthur, don't look at me! Nurse stand between my brother and me.... Jesus, Mary and Joseph, I give you my heart and my soul.",19 October 1914,
Harry Turner,Canton Professionals center,"I know I must go, but I'm satisfied, for we beat Peggy Parratt.",15 November 1914,"to Canton manager Jack Cusack, after suffering fractured back and severed spinal cord while tackling the Akron Indians' Joe Collins"
Frederick Harding Turner,Scottish sportsman,"By Jove, that has deafened my right ear.",10 January 1915,shortly before being killed by a sniper during World War I
Rupert Brooke,English poet,Hullo.,23 April 1915,"to William Denis Browne, who visited him on his deathbed"
Charles Frohman,American theater manager and producer,Why fear death? Death is only a beautiful adventure.,7 May 1915,paraphrasing Peter Pan prior to dying in the sinking of the RMS Lusitania
Elbert Hubbard,American writer and publisher,"Well, they [German Empire] have got us. They are a damn sight worse than I ever thought they were.",7 May 1915,prior to dying with his wife in the sinking of the RMS Lusitania
Alice Moore Hubbard,American feminist and writer,There does not seem to be anything to do.,7 May 1915,"on her husband being asked ""What are you going to do?"" prior to the sinking of the RMS Lusitania"
Francis Octavius Grenfell ,British Army officer,"Tell them I died happy, loving them all.",24 May 1915,"mortally wounded during World War I, referring to his squadron"
Charles Becker,American police officer,"Oh, Lord, I proclaim to the world that I am innocent of this crime.",30 July 1915,prior to execution by electrocution for murder
Edith Cavell,British nurse,We shall meet again.,12 October 1915,"executed by firing squad in German-occupied Belgium for having helped Allied soldiers escape to the then-neutral Netherlands during World War I. She said this on the night before her execution to Reverend H. Stirling Gahan, the Anglican chaplain who had been allowed to see her and to give her Holy Communion"
Ralph Hemingway,English cricketer,"I led them to the end, they wavered I tried to keep them together.",15 October 1915,fatally wounded during World War I
Joe Hill,Swedish-American labor activist,Fire – go on and fire!,19 November 1915,"Hill shouted these words after Deputy Shettler, who led his firing squad, called out the sequence of commands preparatory to firing (""Ready, aim"")"
Henry James,American-British author,"So here it is at last, the distinguished thing.",28 February 1916,
William Richard Cotter ,British Army soldier,"Goodbye, God bless you all.",14 March 1916,"mortally wounded during World War I (Whistling) — Patrick Pearse, Irish author and revolutionary (3 May 1916), on his way to execution by firing squad"
Cyril Rattigan,English cricketer,I'm going to have a shot at getting him in.,13 November 1916,prior to fatally attempting to kill a German sniper during World War I
Saki (Hector Hugh Munro),British writer,Put that bloody cigarette out!,14 November 1916,prior to being killed by a German sniper during the Battle of the Ancre in World War I
Frederick Funston,United States Army general and Medal of Honor recipient,How beautiful it all is.,19 February 1917,"while listening to an orchestra play ""The Blue Danube"" waltz in the lobby of The St. Anthony Hotel in San Antonio, Texas. He then collapsed from a heart attack"
Ferdinand von Zeppelin,German general and airship inventor,I have perfect faith.,8 March 1917,
Albert Ball,", British World War I fighter ace","I don't think so, I don't think so.",7 May 1917,said to a member of his ground crew before dying in a flying accident
Noel Godfrey Chavasse,", British Army officer",Do not forget what I have told you.,4 August 1917,"mortally wounded at the Battle of Passchendaele in World War I. He was reminding a nurse of their earlier conversation about contacting his father and fiancée and about his younger brother, who was missing in action"
Thomas Crisp VC,"DSC, Royal Naval Reserve, skipper of armed trawler Nelson","Tom, I'm done. Throw me overboard.",15 August 1917,to his son after being mortally wounded in a German submarine attack during World War I
Mata Hari,Dutch exotic dancer and courtesan,It is unbelievable.,15 October 1917,prior to execution by French firing squad for spying for Germany during World War I
Vince Coleman,Canadian train dispatcher,"Hold up the train. Ammunition ship afire in harbour making for Pier 6 and will explode. Guess this will be my last message. Goodbye, boys.",6 December 1917,warning an incoming train by telegraph of the impending Halifax Explosion
Geoffrey Saxton White ,Royal Navy officer,We are in the hands of God.,28 January 1918,before being killed by a shell on the deck of HMS E14 in the Dardanelles during World War I
Thomas Kane Wooten,"Graham County, Arizona Deputy Sheriff",Throw up your hands! Throw up your hands!,10 February 1918,prior to death in the Power's Cabin shootout
Wilfrith Elstob ,British Army officer,Never.,21 March 1918,in response to enemy demand to surrender on the first day of the German spring offensive during World War I
Herbert George Columbine ,British Army soldier,Save yourselves. I'll carry on.,22 March 1918,"to fellow soldiers after holding off the enemy for four hours with a Vickers machine gun at Hervilly Wood, France, during World War I"
William Herbert Anderson ,British Army officer,Carry on with those on the left.,25 March 1918,"to a fellow officer during World War I counter-attack at Bois Favieres, near Maricourt, Somme, France"
Henry Adams,American historian and descendant of two U.S. Presidents,"Dear child, keep me alive.",27 March 1918,to his secretary companion the day before he died
Gordon Flowerdew ,Canadian Expeditionary Force officer,Carry on boys. We have won.,31 March 1918,mortally wounded at the Battle of Moreuil Wood in World War I
Manfred von Richthofen,or the Red Baron,Kaputt,"April 21, 1918",mortally wounded at the Fourth Battle of Ypres
Mohammad Jawad al Jaza'iri,"Iraqi cleric, one of the ringleaders of the anti-British uprising in Najaf","But we coped with the sadness, and we wait for death from one moment to the next.",May 1918,; final lines of poem written prior to his execution
Major Lloyd W. Williams,United States Marine Corps officer,Don't bother with me. Take care of my good men.,12 June 1918,"to his approaching medics, after being gassed and hit by German shrapnel during the Battle of Belleau Wood in World War I"
Nicholas II of Russia,last Emperor of Russia,You know not what you do.,17 July 1918,quoting Jesus to Yakov Yurovsky upon being informed he and his family were to be put to death
Jean Brillant ,Canadian Expeditionary Force officer,I am through. Take charge of the company. I won't be here long.,10 August 1918,fatally wounded by enemy machine-gun fire during World War I
Richard Annesley West,", British Army officer","Stick it, men; show them fight, and for God's sake put up a good fight.",2 September 1918,killed in action during World War I
Oswald Samson,English cricketer,I am sorry to have been so much trouble; I shall never forget what you have done for me.,17 September 1918,fatally wounded during World War I
Milo Lemert,United States Army soldier and recipient of the Medal of Honor,I'm all finished. Give them hell.,29 September 1918,"mortally wounded near Bellicourt, France, during World War I"
Robbie Ross,"Canadian-British journalist, art critic and art dealer",Here lies one whose name was written in hot water.,5 October 1918,"referring to the inscription on John Keats' grave (""Here lies One Whose Name was writ in Water"")"
Jack Youll ,British Army officer,It's all right Cowling; we've got them stone cold.,27 October 1918,prior to being killed in action at the Battle of Vittorio Veneto during World War I
Wilfred Owen,English soldier and poet,"Well done. You are doing that very well, my boy.",4 November 1918,to a soldier under his command before being killed in action during the crossing of the Sambre–Oise Canal in World War I
Julian Royds Gribble ,British Army officer,Go away gnadiger Frau [gracious lady].,25 November 1918,dismissing his nurse while dying of pneumonia at Niederzwehren prisoner of war camp
"(""Morro bem! Salvem a Pátria!"") — Sidónio Pais","Portuguese politician, military officer, and diplomat",I die well! Save the Fatherland!,14 December 1918,according to reporter Reinaldo Ferreira
Theodore Roosevelt,president of the United States and Medal of Honor recipient,"Please put out that light, James.",6 January 1919,to family servant James E. Amos
"(""Adeus","até ao Céu!"") — Saint Francisco Marto, Portuguese Marian mysticist","Goodbye, until Heaven!",4 April 1919,to his cousin Lúcia
Jane Delano,"American nurse, founder of the American Red Cross Nursing Service",I must get back to my work.,15 April 1919,dying while on a Red Cross mission in France
L. Frank Baum,American author,Now we can cross the Shifting Sands together.,5 May 1919,"referring to a fictional location in his Oz books""Let my soldiers know that I've always been committed to them, loved them and proved it by my death."" (Пусть войска знают, что я им предан был, что я любил их и своею смертью среди них доказал это.) — Vladimir Kappel, White Russian military leader (26 January 1920), dying during the Great Siberian Ice March"
"(""אין דבר","טוב למות בעד ארצנו"") — Joseph Trumpeldor, Jewish Zionist activist","Never mind, it is good to die for our country.",1 March 1920,during the battle of Tel Hai
Ray Chapman,American baseball player,I'm all right; tell Mays not to worry... ring....Katie's ring.,17 August 1920,referring to the pitcher who had fatally beaned him and to his wedding band
"(""내 손톱이 빠져 나가고 내 귀와 코가 잘리고 내 손과 다리가 부러져도 그 고통은 이길 수 있사오나 나라를 잃어버린 그 고통만은 견딜 수가 없습니다. 나라에 바칠 목숨이 오직 하나밖에 없는 것만이 이 소녀의 유일한 슬픔입니다."") — Ryu Gwansun",Korean independence activist,"Even if my fingernails are torn out, my nose and ears are ripped apart, and my legs and arms are crushed, this physical pain does not compare to the pain of losing my nation. My only remorse is not being able to do more than dedicating my life to my country.",20 September 1920,writing in prison before being tortured and beaten to death by Japanese prison officers
George Gipp,American college football player,"Some day, when things look real tough for Notre Dame [Notre Dame Fighting Irish football], ask the boys to go out there and win one for the Gipper.",14 December 1920,to Knute Rockne while dying of pneumonia
Enrico Caruso,Italian operatic tenor,"Doro, I can't breathe!",2 August 1921,dying of peritonitis
Virginia Rappe,American model and silent film actress,"I'm dying, I'm dying...he hurt me!",9 September 1921,
Ernest Shackleton,Anglo-Irish Antarctic Explorer,"You are always wanting me to give up things, what is it I ought to give up?",5 January 1922,
Charles I of Austria,the last Emperor of Austria,"Thy Holy Will be done. Jesus, Jesus, come! Yes, yes. My Jesus as Thou willst it, Jesus.",1 April 1922,while dying of pneumonia
Herbert Rowse Armstrong,English solicitor,"I am coming, Katie!",31 May 1922,"prior to execution by hanging for the murder of his wife, Katharine Mary Friend Armstrong"
(signing 'no' in sign language) — Alexander Graham Bell,Scottish-American inventor,No.,2 August 1922,"replying to his deaf wife Mabel's plea ""Don't leave me."""
Michael Collins,"Irish revolutionary, soldier and politician",Forgive them. Bury me in Glasnevin with the boys.,22 August 1922,mortally wounded in anti-Treaty IRA ambush
Richie Rose,American police officer from the Denver Police Department,"Mafia, Mafia, Mafia.",31 October 1922,apparently shot by bootleggers
Marcel Proust,French novelist,"Yes, my dear Robert, you are.",18 November 1922,"to his brother, who asked if he was hurting him"
Erskine Childers,English-born Irish writer,"Take a step or two closer, lads. It will be easier that way.",24 November 1922,facing a firing squad
Katherine Mansfield,New Zealand modernist writer,I believe... I'm going to die. I love the rain. I want the feeling of it on my face.,9 January 1923,
Sarah Bernhardt,French actress,How slow my death agony is.,26 March 1923,
William Robertson Nicoll,Scottish minister and writer,I believe everything I have written about immortality.,4 May 1923,
W. P. Ker,Scottish literary scholar,"I thought this was the most beautiful spot in the world, and now I know it.",17 July 1923,to his hiking companions on the Pizzo Bianco before suffering a heart attack
Warren G. Harding,president of the United States,"That's good. Go on, read some more.",2 August 1923,"to his wife, Florence Harding, who had been reading aloud a flattering Saturday Evening Post article about him"
"(""хорошая собака."") — Vladimir Lenin",Russian communist statesman and revolutionary,Good dog.,21 January 1924,to his dog who brought him a dead bird
Woodrow Wilson,president of the United States,When the machinery is broken... I am ready.,3 February 1924,
Eleonora Duse,Italian actress,"We must stir ourselves. Move on! Work, work! Cover me! Must move on! Must work! Cover me!",21 April 1924,
"(""Töten Sie mich","sonst sind Sie ein Mörder!"") — Franz Kafka, German-speaking Bohemian novelist and short-story writer","Kill me, or else you are a murderer!",3 June 1924,asking his doctors for morphine overdose while dying of tuberculosis
Ferruccio Busoni,Italian composer,"Dear Gerda, I thank you for every day we have been together.",27 July 1924,to his wife
Anatole France,French writer and journalist,So this is what it is like to die – it takes a long time!,12 October 1924,
Floyd Collins,American cave explorer,You're too slow...too slow.,c. 13 February 1925,"to rescue workers trying to free him from his entrapment in Sand Cave, Kentucky"
Erik Satie,French composer and pianist,"Ah, the cows...",1 July 1925,
"(""До свиданья","друг мой, до свиданья. / Милый мой, ты у меня в груди. / Предназначенное расставанье / Обещает встречу впереди."") — Sergei Yesenin, Russian lyric poet","Goodbye, my friend, goodbye. My dear, you are in my heart. Predestined separation promises a future meeting.",28 December 1925,in his final poem before allegedly taking his own life
Zip the Pinhead,American freak show performer,"Well, we fooled 'em for a long time, didn't we?",9 April 1926,
Luther Burbank,American botanist,I don't feel good.,11 April 1926,
Rudolph Valentino,Italian actor,Don't pull down the blinds. I want the sunlight to greet me.,23 August 1926,to a nurse
Rainer Maria Rilke,Bohemian-Austrian poet and novelist,I don't want the doctor's death. I want to have my own freedom.,29 December 1926,
Lala ,Indian World War I Victoria Cross recipient,We fought true.,23 March 1927,dying of polio
Reginald Dyer,British Indian Army officer,So many people who knew the condition of Amritsar say I did right...but so many others say I did wrong. I only want to die and know from my Maker whether I did right or wrong.,23 July 1927,"In 1919, Dyer ordered the troops under his command to fire into a crowd of protesting Indian independence activists in Jallianwala Bagh, Punjab, killing at least 379 people and wounding over 1,200 others"
Ryūnosuke Akutagawa,Japanese writer,"Probably no one who attempts suicide—is fully aware of all his motives, which are usually too complex. At least in my case it is prompted by a vague sense of anxiety—about my own future. — As for my vague sense of anxiety about my own future, I think I analyzed it all in 'A Fool's Life,' except for a social factor, namely the shadow of feudalism cast over my life. This I omitted purposely, not at all certain that I could really clarify the social context in which I lived. — P.S. Reading a life of Empedocles, I felt how old is this desire to make a god of oneself. This letter, so far as I am conscious, never attempts this. On the contrary, I consider myself one of the most common humans. You may recall those days of twenty years ago when we discussed 'Empedocles on Etna'—under the linden trees. In those days I was one who wished to make a god of myself.",24 July 1927,; excerpt from his suicide note
Nicola Sacco,Italian immigrant anarchist,"Farewell, mother!",23 August 1927,prior to execution by electrocution
Bartolomeo Vanzetti,Italian immigrant anarchist,I wish to forgive some people for what they are now doing to me.,23 August 1927,prior to execution by electrocution
"(""Adieu","mes amis. Je vais à la gloire!"") — Isadora Duncan, American/French dancer","Farewell, my friends. I go to glory!",14 September 1927,just before dying in freak car accident
Hawthorne C. Gray,American aeronaut,"Sky deep blue, sun very bright, sand [buoyancy compensator] all gone.",4 November 1927,final journal entry during balloon altitude record attempt
"(""¡Viva Cristo Rey!"") — Miguel Pro",Mexican Jesuit Catholic priest,Long live Christ the King!,23 November 1927,prior to execution by firing squad on false charges of sedition
Brian Oswald Donn-Byrne,Irish novelist,I think I'll go for a drive before dinner – anyone coming?,18 June 1928,prior to dying in auto accident
George Appel,American murderer,"Well folks, you'll soon see a baked apple.",9 August 1928,prior to execution by electrocution
Clarence W. Barron,American newsman and de facto manager of The Wall Street Journal,What is the news?,2 October 1928,
Arnold Rothstein,American mobster,Me mudder did it.,6 November 1928,when asked who had fatally shot him
Henry Arthur Jones,English dramatist,The prettier. Now fight for it.,7 January 1929,when his nurse and his niece asked which of them he would prefer to stay with him
Habibullāh Kalakāni,claimant of the titles of King and Emir of Afghanistan,"I have nothing to ask God, he has given me everything I desired. God has made me King.",1 November 1929,"prior to execution""Dictionary."" — Joseph Wright, compiler of The English Dialect Dictionary (27 February 1930)"
D. H. Lawrence,English writer and poet,I think it is time for morphine.,2 March 1930,
Henry Segrave,British land speed and water speed record pioneer,How are the lads? Did we do it?,13 June 1930,"mortally injured in crash of Miss England II. He was asking his wife about the fates of his chief engineer (who was killed) and his mechanic (who survived), and whether they had broken the water speed record (they had)"
Arthur Conan Doyle,"British physician, author and spiritualist",You are wonderful.,7 July 1930,spoken to his wife in their garden; he proceeded to clutch his chest and die
Carl Panzram,American serial killer and rapist,"Hurry it up, you Hoosier bastard! I could hang a dozen men while you're fooling around!",5 September 1930,spitting in his executioner's face prior to hanging
"(""Приготовьте мой костюм лебедя!"") — Anna Pavlova","Russian prima ballerina, creator of the role of The Dying Swan",Get my Swan costume ready.,23 January 1931,
"(""ਇੰਕਿਲਮ ਜ਼ਿੰਦਾਬਾਦ!"") — Bhagat Singh","Indian revolutionary and Socialist, founder of Hindustan Socialist republican association",Long live Revolution,23 March 1931,
Arnold Bennett,English writer,"Everything's gone wrong, my girl.",27 March 1931,"to his mistress, Dorothy Cheston"
Albert A. Michelson,American physicist,"The following is a report on the measurement of the velocity of light made at the Irvine Ranch, near Santa Ana, California, during the period of September 1929 to—.",9 May 1931,writing in a scientific log
Raymond Hamilton,member of Barrow Gang,"Well, goodbye all",10 May 1935,before dying in the electric chair
Eugène Ysaÿe (12 May 1931),,Splendid. The finale just a little too fast.,12 May 1931,"Belgian violinist, composer and conductor, after his Fourth Sonata was played for him"
David Belasco,American playwright and theater impresario,"Doctor, I'm fighting for my life!",14 May 1931,
Peter Kürten,"German serial killer known as ""The Vampire of Düsseldorf""","After my head is chopped off, will I still be able to hear, at least for a moment, the sound of my own blood gushing from the stump of my neck? That would be the pleasure to end all pleasures.",2 July 1931,prior to execution by guillotine
"(""Wiedersehen...Gruss..."") — Paul Anlauf",German police captain,So long...Goodbye...,9 August 1931,assassinated by members of the Communist Party of Germany including Erich Mielke
Thomas Edison,American inventor,It's very beautiful over there.,18 October 1931,speaking words of unclear meaning as he was dying
Vachel Lindsay,American poet,They tried to get me — I got them first!,5 December 1931,in his suicide note
Francis Crowley,American murderer,You sons of bitches. Give my love to Mother.,21 January 1932,prior to execution by electrocution
Lytton Strachey,English writer and critic,"If this is dying, then I don't think much of it.",21 January 1932,
George Eastman,American entrepreneur,To my friends / My work is done / Why wait? / G.E.,14 March 1932,"as his suicide note, before shooting himself in the chest"
Hart Crane,American poet,"Goodbye, everybody!",27 April 1932,"prior to jumping off a cruise ship ″Well, wait, you’ll understand once we talk. It's day, you need not shoot me.″ (""まあ、待て、話をすればわかるだろう。撃たんでもええ、、"") - Tsuyoshi Inukai, former Prime Minister of Japan (15 May 1932), assassinated by Taku Mikami"
Florenz Ziegfeld Jr.,American Broadway impresario,Curtain! Fast music! Lights! Ready for the last finale! Great! The show looks good. The show looks good.,22 July 1932,
