quote,is_criminal
mama mama mama,0.0
june,1.0
i am on the way to spires to visit the kings my predecessors,0.0
no no,0.0
me mudder did it,0.0
we are beggars this is true,0.0
study my brain please im sorry tell rick im sorry for everything,0.0
december,1.0
my name is nick berg my fathers name is michael my mothers name is suzanne i have a brother and sister david and sara i live in west chester pennsylvania near philadelphia,0.0
november,1.0
oh god,0.0
can you believe this crap,0.0
january,1.0
july,0.0
oh lord i proclaim to the world that i am innocent of this crime,1.0
september,1.0
never mind it is good to die for our country,0.0
march,1.0
,1.0
,1.0
these then are my last words to you be not afraid of life believe that life is worth living and your belief will help create the fact,0.0
,1.0
september,1.0
,1.0
have a good trip,0.0
all must die but tis enough that the child liveth,0.0
ah mes enfans you cannot cry as much for me as i have made you laugh in my time i never thought that it was so easy a matter to laugh at the approach of death,0.0
february,1.0
last tag,0.0
all my possessions for a moment of time,0.0
april,0.0
,1.0
,1.0
september,0.0
july,0.0
december,1.0
i am only sad that i have to leave with a full trunk,0.0
june,0.0
it has been seventeen years since i ascended the throne i feeble and of small virtue have offended against heaven the rebels have seized my capital because my ministers deceived me ashamed to face my ancestors i die removing my imperial cap and with my hair disheveled about my face i leave to the rebels the dismemberment of my body let them not harm my people,0.0
all right then ill say it dante makes me sick,0.0
i pray you good people be not the worse to these men on my account as though they were the authors of my death,1.0
behold then the recompense reserved for the first apostle of liberty,1.0
may,0.0
you assface,0.0
lord god into thy holy hands i commit my spirit,0.0
november,0.0
march,0.0
long live eternal germany,1.0
some day when things look real tough for notre dame notre dame fighting irish football ask the boys to go out there and win one for the gipper,0.0
i cant fix myself,0.0
it was the food,0.0
carry my bones before you on your march for the rebels will not be able to endure the sight of me alive or dead,0.0
no,0.0
,1.0
lord receive my soul,1.0
march,0.0
yeah i think id rather be fishing,1.0
october,0.0
june,0.0
october,1.0
february,1.0
november,1.0
and now i begin my intercourse with god which shall never be broken off farewell father and mother friends and relations farewell the world and all delights farewell sun moon and stars welcome god and father welcome sweet jesus christ the mediator of the new covenant welcome blessed spirit of grace the god of all consolation welcome glory welcome eternal life and welcome death,1.0
august,1.0
may,0.0
october,0.0
november,1.0
,1.0
do you have it now,0.0
,1.0
you know not what you do,0.0
march,1.0
,1.0
november,0.0
tv four just lost,0.0
